header,price,subtitle
"3-комнатная квартира, 80 м², 5/5 этаж",87900000,"Казыбек би р-н, Лободы 5 — Бухар Жырау"
"4-комнатная квартира, 87 м², 2/3 этаж",30000000,"Казыбек би р-н, 6й микрорайон, 6й микрорайон 9"
"3-комнатная квартира, 88 м², 10/10 этаж",29000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 4 53/8 — Муканова"
"3-комнатная квартира, 83 м², 9/25 этаж",37000000,"Казыбек би р-н, мкр Новый Город, Ашимова — Таттимбета"
"3-комнатная квартира, 67 м², 5/5 этаж",23000000,"Казыбек би р-н, мкр Новый Город, Ермекова 35"
"4-комнатная квартира, 85 м², 5/5 этаж",34000000,"Казыбек би р-н, мкр Юго-Восток, Степной 4 23"
"2-комнатная квартира, 44.5 м², 1/5 этаж",11000000,"Алихана Бокейханова р-н, мкр Майкудук, 12й микрорайон 44"
"3-комнатная квартира, 81.5 м², 2/2 этаж",20000000,"Алихана Бокейханова р-н, мкр Майкудук, Белинского 36"
"1-комнатная квартира, 34 м², 1/5 этаж",12000000,Орбита мкр 26
"1-комнатная квартира, 33 м², 1/5 этаж",12000000,"Казыбек би р-н, Мкр Орбита 26"
"2-комнатная квартира, 56 м², 1/9 этаж",18900000,"Казыбек би р-н, Гульдер-1 мкр"
"3-комнатная квартира, 94.2 м², 10/16 этаж",40000000,"Казыбек би р-н, Абая 61/2"
"2-комнатная квартира, 44 м², 4/5 этаж",11000000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон 20"
"1-комнатная квартира, 36 м², 4/5 этаж",15000000,"Казыбек би р-н, мкр Новый Город, Нуркена Абдирова 36/1"
"4-комнатная квартира, 61.9 м², 1/5 этаж",16000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 16й микрорайон 23"
"1-комнатная квартира, 38 м², 6/9 этаж",16000000,"Казыбек би р-н, мкр Новый Город, Ержанова 41/2"
"2-комнатная квартира, 45 м², 1/5 этаж",17000000,"Казыбек би р-н, Ержанова"
"2-комнатная квартира, 39 м², 2/5 этаж",14500000,"Казыбек би р-н, Полетаева"
"2-комнатная квартира, 39 м², 2/5 этаж",14500000,"Казыбек би р-н, Полетаева"
"1-комнатная квартира, 38 м², 12/16 этаж",14000000,"Казыбек би р-н, Бауыржана Момышулы 24"
"3-комнатная квартира, 89 м², 14/16 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Степной 3-й мкрн 3/4"
"2-комнатная квартира, 48 м², 1/5 этаж",14800000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Восток-2 12"
"2-комнатная квартира, 49.6 м², 1/9 этаж",13800000,"Алихана Бокейханова р-н, Мкр Восток -3 20"
"1-комнатная квартира, 34.8 м², 2/3 этаж",10800000,"Казыбек би р-н, мкр Михайловка , Баженова 164/1"
"3-комнатная квартира, 65 м², 3/5 этаж",25000000,"Алихана Бокейханова р-н, мкр Майкудук, Голубые пруды 11"
"3-комнатная квартира, 67 м², 8/9 этаж",25000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Голубые пруды 12 — Голубые пруды"
"4-комнатная квартира, 79 м², 4/9 этаж",39990000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 4 26"
"1-комнатная квартира, 32 м², 4/5 этаж",7500000,"Алихана Бокейханова р-н, мкр Майкудук, 12й микрорайон 30"
"3-комнатная квартира, 58.2 м², 1/5 этаж",17500000,"Казыбек би р-н, Ержанова 34"
"3-комнатная квартира, 77.3 м², 3/4 этаж",32000000,"Казыбек би р-н, Нурсултан Назарбаев 30 — Жангозина"
"3-комнатная квартира, 63 м², 4/5 этаж",13000000,"Алихана Бокейханова р-н, мкр Майкудук, 18й микрорайон"
"2-комнатная квартира, 64 м², 10/16 этаж",30000000,"Казыбек би р-н, проспект Шахтеров"
"3-комнатная квартира, 80 м², 2/5 этаж",15000000,"Алихана Бокейханова р-н, Победы 159/2"
"3-комнатная квартира, 68.5 м², 11/18 этаж",24500000,"Казыбек би р-н, мкр Юго-Восток, Дюсембекова 44/2"
"2-комнатная квартира, 44 м², 1/5 этаж",10500000,"Алихана Бокейханова р-н, мкр Майкудук 1"
"2-комнатная квартира, 46 м², 3/5 этаж",15400000,"Казыбек би р-н, мкр Новый Город, Назарбаев 61"
"2-комнатная квартира, 45 м², 2/5 этаж",12000000,"Алихана Бокейханова р-н, 14 микрорайон"
"3-комнатная квартира, 60.7 м², 1/9 этаж",28500000,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон 1 — Гапеева"
"4-комнатная квартира, 190 м², 2/2 этаж",63000000,"Казыбек би р-н, Таттимбета 5а"
"2-комнатная квартира, 48 м², 2/5 этаж",18800000,"Казыбек би р-н, мкр Юго-Восток, Муканова 12"
"2-комнатная квартира, 40 м², 1/2 этаж",7500000,"Алихана Бокейханова р-н, ул белинского"
"2-комнатная квартира, 68.2 м², 9/10 этаж",23000000,"Казыбек би р-н, мкр Городской Аэропорт, Республики 1/4"
"5-комнатная квартира, 93.9 м², 9/9 этаж",28000000,"Казыбек би р-н, Степной-4"
"3-комнатная квартира, 74 м², 3/9 этаж",25000000,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон — Гапеева"
"3-комнатная квартира, 105 м², 8/9 этаж",48000000,"Казыбек би р-н, Пионер - 2"
"3-комнатная квартира, 74 м², 1/5 этаж",25000000,"Казыбек би р-н, мкр Михайловка  12/1"
"2-комнатная квартира, 47 м², 1/5 этаж",9500000,"Алихана Бокейханова р-н, Мануильского 21 — Сортировка"
"1-комнатная квартира, 30 м², 4/5 этаж",9000000,"Алихана Бокейханова р-н, мкр Пришахтинск, 21й микрорайон 30"
"2-комнатная квартира, 45 м², 2/2 этаж",17950000,"Казыбек би р-н, мкр Новый Город, Ермекова 38/2"
"3-комнатная квартира, 61 м², 4/5 этаж",23700000,"Казыбек би р-н, мкр Новый Город, Бухар - Жырау 75/2"
"5-комнатная квартира, 98 м², 1/9 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 1 31"
"1-комнатная квартира, 36 м², 4/5 этаж",10000000,"Алихана Бокейханова р-н, 19-й мкр 40"
"2-комнатная квартира, 57 м², 1/2 этаж",12000000,"Алихана Бокейханова р-н, мкр Старый Майкудук, Архитектурная 11"
"2-комнатная квартира, 59.6 м², 3/10 этаж",26000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, просп. Шахтёров 74 — Таттимбета"
"3-комнатная квартира, 53 м², 4/5 этаж",23000000,"Казыбек би р-н, мкр Юго-Восток, Язева 1"
"3-комнатная квартира, 62 м², 4/5 этаж",14500000,"Алихана Бокейханова р-н, мкр Майкудук, 16й микрорайон 9"
"3-комнатная квартира, 56.6 м², 4/5 этаж",25000000,"Казыбек би р-н, Гоголя 51/1"
"2-комнатная квартира, 44 м², 5/5 этаж",16800000,"Казыбек би р-н, мкр Юго-Восток, 27й микрорайон 3 — Язева"
"2-комнатная квартира, 45 м², 4/5 этаж",17500000,"Казыбек би р-н, мкр Новый Город, Ержанова"
"2-комнатная квартира, 46 м², 2/5 этаж",17800000,"Казыбек би р-н, мкр Новый Город, Ерубаева 31"
"4-комнатная квартира, 75.9 м², 3/5 этаж",26000000,"Алихана Бокейханова р-н, Мкр Голубые Пруды 16"
"2-комнатная квартира, 60 м², 1/11 этаж",25500000,"Казыбек би р-н, Сарыарка"
"3-комнатная квартира, 55.9 м², 1/5 этаж",18000000,"Казыбек би р-н, мкр Фёдоровка  88"
"3-комнатная квартира, 62 м², 3/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, 14й микрорайон"
"4-комнатная квартира, 77 м², 2/9 этаж",20000000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон 1/2 — Майлина"
"2-комнатная квартира, 48 м², 1/9 этаж",20000000,"Алихана Бокейханова р-н, мкр Майкудук, Мамыраева микрорайон 22"
"2-комнатная квартира, 50 м², 3/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 40"
"2-комнатная квартира, 68 м², 2/2 этаж",28000000,"Казыбек би р-н, Мустафина 14"
"2-комнатная квартира, 41.9 м², 5/5 этаж",9700000,"Алихана Бокейханова р-н, мкр Майкудук, 17й микрорайон 46"
"3-комнатная квартира, 64 м², 3/5 этаж",15000000,15-й мкр
"2-комнатная квартира, 48 м², 5/5 этаж",10500000,"Алихана Бокейханова р-н, мкр Майкудук, 11а микрорайон 7"
"3-комнатная квартира, 57 м², 3/5 этаж",11000000,"Казыбек би р-н, мкр Михайловка , ул. Осевая 8"
"4-комнатная квартира, 120 м², 3/3 этаж",44000000,"Казыбек би р-н, Жамбыла 3 — Бухар Жырау"
"3-комнатная квартира, 95.2 м², 5/5 этаж",29450000,"Казыбек би р-н, Таугуль мкр 1"
"2-комнатная квартира, 53 м², 4/9 этаж",23500000,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Орбита 33"
"3-комнатная квартира, 61.9 м², 2/5 этаж",17000000,"Алихана Бокейханова р-н, мкр Майкудук 49"
"1-комнатная квартира, 32 м², 3/5 этаж",12000000,"Казыбек би р-н, Мустафина 7"
"2-комнатная квартира, 45 м², 4/5 этаж",16800000,"Казыбек би р-н, мкр Новый Город, Гоголя 56/2"
"2-комнатная квартира, 46 м², 3/5 этаж",11600000,"Алихана Бокейханова р-н, мкр Майкудук, 14-й микрорайон 32"
"3-комнатная квартира, 58 м², 1/5 этаж",25500000,"Казыбек би р-н, Кривогуза"
"3-комнатная квартира, 120 м², 18/19 этаж",40000000,Дюсембекова 83/1
"2-комнатная квартира, 44 м², 4/5 этаж",16400000,"Казыбек би р-н, Назарбаева 78"
"2-комнатная квартира, 68 м², 1/5 этаж",35000000,"Казыбек би р-н, мкр Юго-Восток, Муканова 49/10"
"2-комнатная квартира, 44.9 м², 5/5 этаж",17500000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон 9 — ул. Сатыбалдина"
"3-комнатная квартира, 140 м², 12/16 этаж",52000000,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 60"
"2-комнатная квартира, 42 м², 1/5 этаж",10800000,"Алихана Бокейханова р-н, мкр Майкудук, Кузембаева 42"
"4-комнатная квартира, 61.9 м², 3/5 этаж",20500000,"Казыбек би р-н, мкр Фёдоровка , Орлова 105"
"3-комнатная квартира, 89.1 м², 4/5 этаж",35700000,"Казыбек би р-н, мкр Юго-Восток, Таттимбета 16/1"
"3-комнатная квартира, 52 м², 1/5 этаж",16000000,"Алихана Бокейханова р-н, мкр Пришахтинск, 23й микрорайон"
"4-комнатная квартира, 69.8 м², 6/9 этаж",28000000,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон 7"
"4-комнатная квартира, 80 м², 9/9 этаж",25000000,"Казыбек би р-н, Дюсембекова 59"
"2-комнатная квартира, 54 м², 2/9 этаж",19000000,"Казыбек би р-н, Гапеева 12"
"2-комнатная квартира, 42 м², 1/5 этаж",10000000,"Алихана Бокейханова р-н, мкр Майкудук, 17й микрорайон 54"
"2-комнатная квартира, 50.7 м², 4/5 этаж",20000000,"Алихана Бокейханова р-н, мкр Пришахтинск"
"3-комнатная квартира, 60 м², 2/2 этаж",27000000,"Казыбек би р-н, Комиссарова"
"1-комнатная квартира, 31 м², 5/5 этаж",10700000,"Алихана Бокейханова р-н, мкр Майкудук, Бирюзова"
"3-комнатная квартира, 92 м², 5/9 этаж",45000000,"Казыбек би р-н, мкр Юго-Восток, Пр. Шахтёров 31 А"
"2-комнатная квартира, 44.4 м², 4/9 этаж",19500000,"Казыбек би р-н, Ермекова 58"
"2-комнатная квартира, 43 м², 5/5 этаж",16300000,"Казыбек би р-н, мкр Новый Город, Ерубаева 48/1"
"3-комнатная квартира, 92 м², 2/5 этаж",35000000,"Казыбек би р-н, Мкр Таугуль 3 1"
"1-комнатная квартира, 32 м², 3/5 этаж",14000000,"Казыбек би р-н, 6-й мкр — Ермекова"
"1-комнатная квартира, 32.3 м², 5/5 этаж",15000000,"Казыбек би р-н, мкр Новый Город — Пр. Н. Абдирова"
"3-комнатная квартира, 57 м², 4/9 этаж",28000000,"Казыбек би р-н, мкр Новый Город, Бухар-жырау"
"3-комнатная квартира, 100 м², 1/9 этаж",38000000,"Казыбек би р-н, Шахтеров"
"3-комнатная квартира, 75 м², 2/4 этаж",30600000,"Казыбек би р-н, Назарбаева"
"4-комнатная квартира, 107 м², 1/5 этаж",38000000,"Казыбек би р-н, Мкр Степной-2 2"
"2-комнатная квартира, 69.7 м², 8/10 этаж",24500000,"Казыбек би р-н, Б.Ашимова 3"
"2-комнатная квартира, 65 м², 2/16 этаж",25500000,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 60"
"2-комнатная квартира, 60 м², 9/11 этаж",24500000,"Казыбек би р-н, Сарыарка"
"3-комнатная квартира, 178.6 м², 2/9 этаж",59900000,"Казыбек би р-н, мкр Юго-Восток, Степной 3"
"3-комнатная квартира, 67 м², 1/5 этаж",24500000,"Казыбек би р-н, мкр Юго-Восток, 29й микрорайон 8"
"2-комнатная квартира, 67 м², 9/14 этаж",23500000,"Казыбек би р-н, мкр Юго-Восток, Бауыржан Момышулы — Таттимбета"
"2-комнатная квартира, 45 м², 5/5 этаж",9500000,"Алихана Бокейханова р-н, 12 мкр 40"
"1-комнатная квартира, 36 м², 2/5 этаж",8000000,Кузенбаева 72
"3-комнатная квартира, 61.1 м², 5/5 этаж",20000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Голубые пруды 11"
"3-комнатная квартира, 51 м², 2/5 этаж",19000000,"Алихана Бокейханова р-н, мкр Пришахтинск"
"4-комнатная квартира, 65 м², 3/5 этаж",20500000,"Алихана Бокейханова р-н, мкр Пришахтинск, Мкр Пришахтинск, 22й микрорайон 6"
"2-комнатная квартира, 60 м², 2/6 этаж",20000000,"Казыбек би р-н, мкр Новый Город 100/2"
"4-комнатная квартира, 63.5 м², 4/5 этаж",24000000,"Казыбек би р-н, мкр Юго-Восток, Язева 13"
"3-комнатная квартира, 65 м², 1/9 этаж",24500000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 3 3"
"2-комнатная квартира, 44.5 м², 3/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 18й микрорайон 24"
"1-комнатная квартира, 18 м², 3/5 этаж",9000000,"Алихана Бокейханова р-н, мкр Майкудук, 16й микрорайон 4"
"3-комнатная квартира, 140 м², 12/18 этаж",52000000,"Казыбек би р-н, Шахтеров 60"
"3-комнатная квартира, 62 м², 2/5 этаж",17800000,ВОСТОК 2 8
"2-комнатная квартира, 51 м², 5/9 этаж",23500000,"Казыбек би р-н, мкр Юго-Восток, Мкр Орбита 38 — Пл.республика"
"2-комнатная квартира, 52 м², 5/7 этаж",13500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Голубые пруды 18"
"1-комнатная квартира, 32 м², 5/5 этаж",7700000,"Алихана Бокейханова р-н, мкр Пришахтинск 24/1"
"3-комнатная квартира, 69 м², 7/9 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Орбита"
"4-комнатная квартира, 140 м², 5/18 этаж",80000000,"Казыбек би р-н, проспект Шахтёров"
"3-комнатная квартира, 75.9 м², 3/5 этаж",25900000,"Алихана Бокейханова р-н, мкр Майкудук, мкр Голубые пруды 16"
"2-комнатная квартира, 63 м², 5/10 этаж",40000000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 1/4"
"2-комнатная квартира, 37.6 м², 8/9 этаж",25000000,"Казыбек би р-н, проспект Нуркена Абдирова 32"
"1-комнатная квартира, 36 м², 3/5 этаж",12500000,"Казыбек би р-н, Ермекова"
"2-комнатная квартира, 44 м², 2/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 14й микрорайон"
"2-комнатная квартира, 45 м², 1/5 этаж",15500000,"Казыбек би р-н, мкр Новый Город 47 — Абдирова"
"3-комнатная квартира, 120.7 м², 2/5 этаж",72000000,"Казыбек би р-н, Аманжолова 65/4 — Кривогуза"
"3-комнатная квартира, 56.3 м², 5/5 этаж",15000000,"Алихана Бокейханова р-н, мкр Пришахтинск, Зелинского 24/2"
"2-комнатная квартира, 47 м², 5/5 этаж",15000000,"Казыбек би р-н, Казыбек би район;Гоголя 64"
"2-комнатная квартира, 54 м², 1/9 этаж",21000000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон 4"
"3-комнатная квартира, 68 м², 5/5 этаж",22600000,"Алихана Бокейханова р-н, мкр Майкудук, Голубые пруды 13"
"3-комнатная квартира, 100 м², 4/6 этаж",60000000,"Казыбек би р-н, мкр Юго-Восток, Гульдер 2 19/14"
"1-комнатная квартира, 36.6 м², 5/9 этаж",14000000,"Казыбек би р-н, мкр Михайловка"
"3-комнатная квартира, 64 м², 5/5 этаж",12000000,"Алихана Бокейханова р-н, 13-й мкр 19"
"2-комнатная квартира, 56 м², 3/4 этаж",51000000,"Казыбек би р-н, проспект Бухар Жырау 34 — Лободы"
"5-комнатная квартира, 110 м², 13/20 этаж",25200000,"Казыбек би р-н, Волочаевская 44/1"
"3-комнатная квартира, 52 м², 1/5 этаж",18500000,"Казыбек би р-н, мкр Новый Город, Б.Жырау 79 — Ермекова"
"2-комнатная квартира, 47 м², 4/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 4"
"2-комнатная квартира, 60 м², 4/9 этаж",31000000,"Казыбек би р-н, мкр Юго-Восток 10/14"
"2-комнатная квартира, 50.3 м², 5/5 этаж",17500000,"Казыбек би р-н, мкр Юго-Восток, Орбита 11"
"3-комнатная квартира, 63 м², 2/5 этаж",17000000,"Алихана Бокейханова р-н, мкр Майкудук, 18й микрорайон 19"
"2-комнатная квартира, 45 м², 1/5 этаж",9200000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 7"
"1-комнатная квартира, 31.7 м², 1/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, Восток-1 14"
"1-комнатная квартира, 38.5 м², 4/9 этаж",22000000,"Казыбек би р-н, мкр Юго-Восток, Гапеева 1 — Рыскулова"
"3-комнатная квартира, 110 м², 3/18 этаж",42000000,"проспект Шахтёров 52 — Степной , Гульдер"
"3-комнатная квартира, 56.1 м², 2/5 этаж",20500000,"Казыбек би р-н, мкр Новый Город, Ержанова"
"3-комнатная квартира, 80.6 м², 2/2 этаж",14000000,"Казыбек би р-н, мкр Фёдоровка  64"
"2-комнатная квартира, 68.5 м², 9/10 этаж",24500000,"Казыбек би р-н, мкр Юго-Восток, Байкен Ашимова 21"
"6-комнатная квартира, 200 м²",20000000,"Алихана Бокейханова р-н, мкр Майкудук, Щорса 30"
"3-комнатная квартира, 76 м², 8/10 этаж",45500000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 1/4А"
"2-комнатная квартира, 68 м², 2/5 этаж",38000000,"Казыбек би р-н, мкр Юго-Восток, 28й микрорайон 4/1"
"1-комнатная квартира, 56 м², 4/12 этаж",17000000,"Казыбек би р-н, проспект Республики 1/3 — Гоголя"
"3-комнатная квартира, 84.7 м², 3/3 этаж",23000000,"Алихана Бокейханова р-н, мкр Майкудук, ул. Магнитогорская 44"
"3-комнатная квартира, 59 м², 2/5 этаж",15000000,"Алихана Бокейханова р-н, мкр Старый Майкудук 5"
"1-комнатная квартира, 32 м², 4/4 этаж",12000000,"Казыбек би р-н, мкр Михайловка , Сейфуллина"
"3-комнатная квартира, 57.3 м², 2/5 этаж",25000000,"Казыбек би р-н, мкр Новый Город, Назарбаева 78"
"2-комнатная квартира, 49 м², 3/5 этаж",15500000,"Казыбек би р-н, Затаевича 79"
"2-комнатная квартира, 47 м², 5/5 этаж",16500000,"Казыбек би р-н, Рыскулова 23"
"3-комнатная квартира, 110 м², 9/9 этаж",55000000,"Казыбек би р-н, Тишбека Аханова 58"
"2-комнатная квартира, 44 м², 3/5 этаж",18000000,"Казыбек би р-н, Ерубаева 31"
"3-комнатная квартира, 62.5 м², 5/5 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, 15й микрорайон"
"3-комнатная квартира, 62.8 м², 3/5 этаж",17500000,"Алихана Бокейханова р-н, 22-й мкр 22"
"5-комнатная квартира, 84 м², 3/5 этаж",19700000,"Алихана Бокейханова р-н, мкр Майкудук 18 — Каретная"
"4-комнатная квартира, 74.6 м², 4/9 этаж",30000000,"Казыбек би р-н, ул. Гапеева 7"
"3-комнатная квартира, 64 м², 6/7 этаж",20000000,"Алихана Бокейханова р-н, Голубые пруды"
"2-комнатная квартира, 45 м², 2/5 этаж",12000000,"Алихана Бокейханова р-н, мкр Майкудук, 13й микрорайон 40"
"2-комнатная квартира, 43 м², 1/5 этаж",15500000,Ержанова
"2-комнатная квартира, 54 м², 5/18 этаж",20000000,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 52а"
"3-комнатная квартира, 90.3 м², 1/3 этаж",28500000,"Казыбек би р-н, Габдуллы Кулкыбаева 13"
"2-комнатная квартира, 45.5 м², 3/5 этаж",15500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Восток-2 15"
"2-комнатная квартира, 53 м², 8/9 этаж",22000000,"Казыбек би р-н, мкр Юго-Восток, по. Строителей"
"3-комнатная квартира, 55.6 м², 8/9 этаж",24000000,"Казыбек би р-н, Бухар-Жырау 63/3"
"2-комнатная квартира, 43 м², 3/5 этаж",16000000,"Казыбек би р-н, мкр Новый Город, Мустафина 1"
"3-комнатная квартира, 76 м², 1/5 этаж",17700000,"Алихана Бокейханова р-н, Жекибаева"
"2-комнатная квартира, 55 м², 1/5 этаж",26000000,"Казыбек би р-н, Лободы"
"3-комнатная квартира, 56.2 м², 5/5 этаж",24000000,"Казыбек би р-н, мкр Михайловка  12/1"
"3-комнатная квартира, 56.4 м², 3/5 этаж",15000000,"Алихана Бокейханова р-н, мкр Старый Майкудук, Бирюзова 37 — Бирюзова-ласточка"
"3-комнатная квартира, 68 м², 5/5 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, 14й микрорайон 10 дом"
"3-комнатная квартира, 68.5 м², 4/9 этаж",27800000,"Казыбек би р-н, мкр Юго-Восток, Орбита 3"
"2-комнатная квартира, 39 м², 2/2 этаж",10000000,"Казыбек би р-н, мкр Михайловка , Защитная 103/3"
"3-комнатная квартира, 65 м², 10/10 этаж",30000000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 3 6"
"2-комнатная квартира, 68.9 м², 2/5 этаж",22000000,"Казыбек би р-н, Нуркена Абдирова 53"
"2-комнатная квартира, 46.6 м², 7/9 этаж",19000000,"Казыбек би р-н, мкр Юго-Восток, Муканова"
"3-комнатная квартира, 55 м², 1 этаж",17000000,"Алихана Бокейханова р-н, мкр Майкудук 13"
"2-комнатная квартира, 38 м², 3/5 этаж",15500000,"Казыбек би р-н, Полетаева"
"1-комнатная квартира, 41 м², 1 этаж",13900000,"Казыбек би р-н, мкр Юго-Восток, Караганда 49 — Муканова"
"2-комнатная квартира, 44.2 м², 3/5 этаж",11000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 15й микрорайон 1"
"1-комнатная квартира, 38.4 м², 10/10 этаж",9700000,"Алихана Бокейханова р-н, мкр Майкудук 2"
"1-комнатная квартира, 31 м², 2/5 этаж",20500000,"Казыбек би р-н, Проспект Нуркена Абдирова 9"
"2-комнатная квартира, 48 м², 1/5 этаж",15300000,"Казыбек би р-н, мкр Новый Город, Мустафина 3"
"2-комнатная квартира, 53 м², 4/5 этаж",19000000,"Казыбек би р-н, мкр Юго-Восток, 30й микрорайон 3"
"2-комнатная квартира, 46 м², 2/5 этаж",18000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 15й микрорайон 12"
"2-комнатная квартира, 47.6 м², 1/5 этаж",18500000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Мамыраева 37"
"4-комнатная квартира, 92 м², 5/9 этаж",38000000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 2"
"2-комнатная квартира, 70 м², 10/10 этаж",25550000,"Казыбек би р-н, мкр Юго-Восток, проспект Шахтеров 31/4"
"3-комнатная квартира, 90 м², 10/10 этаж",32800000,"Казыбек би р-н, мкр Юго-Восток, 29й микрорайон 31/4"
"2-комнатная квартира, 48 м², 1/9 этаж",12500000,"Алихана Бокейханова р-н, Белинского 3А"
"4-комнатная квартира, 135 м², 1/5 этаж",93800000,"Казыбек би р-н, Аманжолова (Кривогуза) 65/4"
"2-комнатная квартира, 48 м², 2/2 этаж",13200000,"Казыбек би р-н, Смелый 40"
"3-комнатная квартира, 59 м², 1/5 этаж",20500000,"Казыбек би р-н, Ержанова 37"
"2-комнатная квартира, 46.6 м², 3/5 этаж",12000000,"Алихана Бокейханова р-н, Локомотивная 155"
"3-комнатная квартира, 58 м², 2/4 этаж",19500000,"Казыбек би р-н, М-н Федоровка,  Юбилейная"
"2-комнатная квартира, 46 м², 5/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Старый Майкудук, Мкр 12 36"
"2-комнатная квартира, 44.8 м², 4/5 этаж",11000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, 13й микрорайон 34"
"3-комнатная квартира, 90 м², 3/10 этаж",28000000,"Казыбек би р-н, Ермекова 106А"
"2-комнатная квартира, 44 м², 2/9 этаж",16500000,"Казыбек би р-н, мкр Новый Город, Мкр Новый Город, Гоголя 52/2"
"3-комнатная квартира, 79 м², 1/5 этаж",24000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Майкудук, мкр Голубые пруды 11"
"3-комнатная квартира, 72 м², 4/4 этаж",65000000,"Казыбек би р-н, мкр Юго-Восток, Мкрн Степной-2 2/9"
"4-комнатная квартира, 78.9 м², 9/9 этаж",28000000,Язева 8
"3-комнатная квартира, 101.2 м², 1/2 этаж",27324000,"Казыбек би р-н, мкр Кунгей   61"
"4-комнатная квартира, 100 м², 2/5 этаж",55000000,"Казыбек би р-н, Лободы 3 — проспект Бухар жырау"
"2-комнатная квартира, 45 м², 5/5 этаж",15900000,"Казыбек би р-н, мкр Михайловка , Крылова 26 — Сакена"
"3-комнатная квартира, 62 м², 2/2 этаж",11500000,"Алихана Бокейханова р-н, мкр Пришахтинск"
"3-комнатная квартира, 90 м², 3/10 этаж",28000000,"Казыбек би р-н, Ермекова 106А"
"4-комнатная квартира, 100 м², 2/5 этаж",55000000,"Казыбек би р-н, Лободы 3 — проспект Бухар жырау"
"2-комнатная квартира, 45 м², 5/5 этаж",15900000,"Казыбек би р-н, мкр Михайловка , Крылова 26 — Сакена"
"3-комнатная квартира, 62 м², 2/2 этаж",11500000,"Алихана Бокейханова р-н, мкр Пришахтинск"
"4-комнатная квартира, 105 м², 5/5 этаж",48000000,"Казыбек би р-н, Таттимбета 5 Б — Шахтёров"
"2-комнатная квартира, 60.5 м², 2/16 этаж",24000000,"Казыбек би р-н, мкр Юго-Восток 24"
"3-комнатная квартира, 59.1 м², 3/9 этаж",20000000,"Октябрьский р-н, мкр Майкудук, Восток мкр 17"
"2-комнатная квартира, 43 м², 2/5 этаж",14900000,"Казыбек би р-н, мкр Новый Город, Мкр Новый Город, Нурсултана Назарбаева 21"
"3-комнатная квартира, 70 м², 4/9 этаж",38000000,"Казыбек би р-н, Сатыбалдина 30"
"1-комнатная квартира, 42 м², 5/5 этаж",12500000,"Алихана Бокейханова р-н, мкр Майкудук, Голубые пруды 13"
"2-комнатная квартира, 42 м², 5/9 этаж",17300000,"Казыбек би р-н, 6й микрорайон, 6й микрорайон, ул. Ермекова 62"
"1-комнатная квартира, 41 м², 1/5 этаж",15500000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 2 9"
