header,price,subtitle
"3-комнатная квартира, 63 м², 3/5 этаж",23500000,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 3 5"
"3-комнатная квартира, 73 м², 4/4 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, Магнитогорская"
"3-комнатная квартира, 62 м², 5/5 этаж",24990000,"Казыбек би р-н, мкр Юго-Восток, Степной 3 мкр 5"
"3-комнатная квартира, 62 м², 2/5 этаж",16800000,"Алихана Бокейханова р-н, мкр Майкудук, 16й микрорайон 1"
"2-комнатная квартира, 43 м², 3/5 этаж",18800000,Гоголя 35
"2-комнатная квартира, 65 м², 2/16 этаж",25500000,"Казыбек би р-н, мкр Юго-Восток 60"
"2-комнатная квартира, 56 м², 5/5 этаж",15800000,"Казыбек би р-н, А.Затаевича 77А"
"3-комнатная квартира, 71.8 м², 9/9 этаж",23500000,"Казыбек би р-н, мкр Юго-Восток, Республики 4"
"2-комнатная квартира, 48.4 м², 4/5 этаж",14000000,"Алихана Бокейханова р-н, мкр Майкудук, Мкр Восток-2 15"
"3-комнатная квартира, 61.2 м², 5/9 этаж",19000000,"Алихана Бокейханова р-н, мкр Майкудук, Восток-3 16"
"3-комнатная квартира, 56.8 м², 3/5 этаж",25000000,"Казыбек би р-н, Мустафина 3"
"1-комнатная квартира, 30 м², 3/5 этаж",11300000,"Казыбек би р-н, Штурманская 1/5"
"4-комнатная квартира, 130 м², 1/4 этаж",57000000,"Казыбек би р-н, мкр Новый Город, Ботаническая 12/5"
"4-комнатная квартира, 74 м², 5/5 этаж",24700000,"Казыбек би р-н, мкр Михайловка , Крылова 34 — Крылова-сакена"
"2-комнатная квартира, 64 м², 2/5 этаж",23000000,"Казыбек би р-н, Таттимбета 16/1"
"4-комнатная квартира, 120.7 м²",от 31985500,"Казыбек би р-н, Университетская 17/3"
"2-комнатная квартира, 43.1 м²",от 12283500,"Казыбек би р-н, Муканова 55/2"
"2-комнатная квартира, 49 м², 5/5 этаж",10500000,22 микрорайон 23
"2-комнатная квартира, 49 м², 4/5 этаж",16000000,"Казыбек би р-н, мкр Юго-Восток, Гапеева 15"
"3-комнатная квартира, 66 м², 9/9 этаж",22000000,"Казыбек би р-н, Гапеева 1"
"3-комнатная квартира, 66 м², 4/5 этаж",35000000,"Казыбек би р-н, Бухар-Жырау 26 — Назарбаева"
"2-комнатная квартира, 60 м², 2/2 этаж",32500000,"Казыбек би р-н, Жамбыла 45 — Жангозина"
